Resistance,Inductance,Bandwidth
95.58223125,4.73E-09,20213114215
111.0741547,1.88E-09,59123321277
126.7081975,2.13E-09,59354112776
84.90950491,2.73E-09,31114649669
93.68462095,9.83E-09,9526967270
84.1359522,5.41E-09,15566267321
37.04334546,4.61E-09,8043716930
79.37544831,9.49E-09,8362912468
107.801591,2.60E-09,41508637538
142.2283468,9.58E-09,14847712899
73.43807219,5.04E-09,14576573942
110.019112,5.49E-09,20044716636
54.42232551,8.58E-09,6345257438
80.63711561,6.99E-09,11532587400
108.6689902,3.46E-09,31439007705
102.1838572,1.88E-09,54363119740
65.65925751,6.93E-09,9480814462
65.52115339,4.84E-09,13548143685
90.5022556,6.68E-09,13541389874
52.64749927,2.38E-09,22107572478
67.72598123,9.48E-09,7145168715
106.2564009,3.99E-09,26647061736
67.6580416,3.41E-09,19869546886
109.3790539,7.43E-09,14729454126
100.4715546,1.10E-09,91386120618
102.6795049,2.16E-09,47507935645
74.00628057,5.46E-09,13551252849
82.23607631,4.92E-09,16730461477
111.8617414,7.77E-09,14399208088
98.13588723,6.02E-09,16295440125
80.83568679,4.45E-09,18182166915
94.46377068,9.43E-09,10015136054
98.58536872,7.20E-09,13683112800
69.83009758,3.34E-09,20937789202
76.22293542,5.37E-09,14189609778
58.94641281,7.64E-09,7716777374
118.8301862,1.50E-09,79275125867
77.55611189,3.26E-09,23795958413
69.51122272,2.65E-09,26185028674
84.0883991,8.92E-09,9428638865
120.6789511,1.13E-08,10692773127
78.21926755,8.28E-09,9446133442
106.1930789,3.80E-09,27970253169
62.22436682,3.38E-09,18384127832
109.9795182,2.93E-09,37484978287
91.91936428,2.32E-09,39539542388
126.0814049,9.72E-09,12968650762
64.89723472,5.66E-09,11468331090
84.35428479,6.52E-09,12932827209
65.62944072,3.08E-09,21319082347
77.71231417,8.59E-09,9044968112
76.01723329,4.96E-09,15336491328
57.85405541,5.41E-09,10702033023
104.9387757,3.39E-09,30956844259
