Capacitance,Inductance,Resonance Frequency
1.08E-15,1.06149E-09,1.48645E+11
1.15E-15,9.8172E-10,1.49788E+11
9.46E-16,1.34907E-09,1.40882E+11
1.15E-15,1.24969E-09,1.32761E+11
6.30E-16,1.07884E-09,1.9305E+11
9.80E-16,1.33457E-09,1.39167E+11
1.48E-15,1.18248E-09,1.20308E+11
7.43E-16,1.0907E-09,1.76796E+11
1.04E-15,9.43617E-10,1.60659E+11
1.58E-15,1.10703E-09,1.2034E+11
1.28E-15,1.49997E-09,1.14861E+11
1.30E-15,9.72658E-10,1.41536E+11
1.45E-15,1.03605E-09,1.29851E+11
1.33E-15,1.39993E-09,1.16638E+11
1.44E-15,1.20567E-09,1.20788E+11
6.90E-16,1.06397E-09,1.85751E+11
1.38E-15,1.00155E-09,1.35377E+11
1.03E-15,1.0297E-09,1.54542E+11
8.00E-16,1.08506E-09,1.70824E+11
9.71E-16,9.95631E-10,1.61868E+11
1.58E-15,1.1381E-09,1.18687E+11
7.39E-16,9.59049E-10,1.8905E+11
8.46E-16,1.08968E-09,1.65762E+11
5.96E-16,9.42616E-10,2.12339E+11
1.49E-15,9.90836E-10,1.30986E+11
1.45E-15,1.03079E-09,1.30182E+11
7.64E-16,1.43683E-09,1.51904E+11
5.15E-16,1.11456E-09,2.10071E+11
1.18E-15,1.38261E-09,1.24603E+11
9.73E-16,9.6096E-10,1.64593E+11
9.26E-16,1.19452E-09,1.51327E+11
1.25E-15,1.26717E-09,1.26458E+11
1.04E-15,1.38308E-09,1.32703E+11
5.10E-16,1.10585E-09,2.11928E+11
9.61E-16,1.0361E-09,1.59499E+11
4.01E-16,1.20434E-09,2.2902E+11
8.59E-16,1.00966E-09,1.70898E+11
9.67E-16,9.57163E-10,1.6543E+11
7.97E-16,9.66262E-10,1.81361E+11
1.05E-15,9.50203E-10,1.59337E+11
9.86E-16,1.32986E-09,1.38988E+11
7.74E-16,1.10325E-09,1.72231E+11
9.19E-16,1.47224E-09,1.36827E+11
9.58E-16,1.39026E-09,1.37908E+11
6.98E-16,1.23353E-09,1.71521E+11
1.00E-15,1.33481E-09,1.37756E+11
9.27E-16,1.3329E-09,1.4318E+11
1.07E-15,1.00449E-09,1.53516E+11
8.47E-16,1.11134E-09,1.64042E+11
1.45E-15,9.50554E-10,1.35565E+11
8.87E-16,1.43618E-09,1.41011E+11
1.19E-15,1.13222E-09,1.37114E+11
1.07E-15,1.28883E-09,1.35528E+11
6.76E-16,1.38042E-09,1.64756E+11
4.40E-16,1.18327E-09,2.20573E+11
1.19E-15,1.3642E-09,1.24913E+11
1.27E-15,1.04319E-09,1.38272E+11
1.14E-15,1.13516E-09,1.39907E+11
9.85E-16,1.06132E-09,1.55661E+11
1.08E-15,1.55027E-09,1.23E+11
1.30E-15,1.21726E-09,1.26519E+11
9.26E-16,1.11858E-09,1.5638E+11
1.14E-15,1.05176E-09,1.45348E+11
8.76E-16,1.23721E-09,1.52879E+11
1.31E-15,1.31295E-09,1.21356E+11
