Resistance,Capacitance,Inductance,Quality factor
49.10906368,1.08E-15,1.06E-09,2.02E+01
91.58667308,1.15E-15,9.82E-10,1.01E+01
163.8897841,9.46E-16,1.35E-09,7.29E+00
93.50383518,1.15E-15,1.25E-09,1.11E+01
72.92335017,6.30E-16,1.08E-09,1.79E+01
89.67347471,9.80E-16,1.33E-09,1.30E+01
103.381527,1.48E-15,1.18E-09,8.65E+00
89.90233276,7.43E-16,1.09E-09,1.35E+01
51.07264371,1.04E-15,9.44E-10,1.87E+01
66.51129617,1.58E-15,1.11E-09,1.26E+01
87.8258156,1.28E-15,1.50E-09,1.23E+01
63.31317504,1.30E-15,9.73E-10,1.37E+01
126.9668742,1.45E-15,1.04E-09,6.66E+00
84.97910791,1.33E-15,1.40E-09,1.21E+01
133.1007575,1.44E-15,1.21E-09,6.87E+00
191.4802568,6.90E-16,1.06E-09,6.49E+00
79.7935417,1.38E-15,1.00E-09,1.07E+01
116.0806102,1.03E-15,1.03E-09,8.61E+00
77.02755414,8.00E-16,1.09E-09,1.51E+01
88.99527823,9.71E-16,9.96E-10,1.14E+01
118.8807315,1.58E-15,1.14E-09,7.14E+00
124.2139912,7.39E-16,9.59E-10,9.17E+00
115.7707683,8.46E-16,1.09E-09,9.80E+00
83.9849539,5.96E-16,9.43E-10,1.50E+01
59.08527471,1.49E-15,9.91E-10,1.38E+01
72.40931415,1.45E-15,1.03E-09,1.16E+01
89.48064331,7.64E-16,1.44E-09,1.53E+01
47.93741036,5.15E-16,1.11E-09,3.07E+01
54.44801629,1.18E-15,1.38E-09,1.99E+01
95.46320777,9.73E-16,9.61E-10,1.04E+01
52.1643038,9.26E-16,1.19E-09,2.18E+01
99.28469584,1.25E-15,1.27E-09,1.01E+01
81.4154618,1.04E-15,1.38E-09,1.42E+01
105.0135514,5.10E-16,1.11E-09,1.40E+01
71.36408073,9.61E-16,1.04E-09,1.45E+01
107.7121249,4.01E-16,1.20E-09,1.61E+01
62.73047712,8.59E-16,1.01E-09,1.73E+01
95.40233777,9.67E-16,9.57E-10,1.04E+01
70.96146001,7.97E-16,9.66E-10,1.55E+01
149.2670927,1.05E-15,9.50E-10,6.37E+00
103.998778,9.86E-16,1.33E-09,1.12E+01
101.0020839,7.74E-16,1.10E-09,1.18E+01
71.95702027,9.19E-16,1.47E-09,1.76E+01
75.74197481,9.58E-16,1.39E-09,1.59E+01
84.6118968,6.98E-16,1.23E-09,1.57E+01
56.88310334,1.00E-15,1.33E-09,2.03E+01
53.12288293,9.27E-16,1.33E-09,2.26E+01
89.25255396,1.07E-15,1.00E-09,1.09E+01
96.54259418,8.47E-16,1.11E-09,1.19E+01
60.48237709,1.45E-15,9.51E-10,1.34E+01
142.3924607,8.87E-16,1.44E-09,8.94E+00
84.27640484,1.19E-15,1.13E-09,1.16E+01
98.28703536,1.07E-15,1.29E-09,1.12E+01
90.4836163,6.76E-16,1.38E-09,1.58E+01
98.62004896,4.40E-16,1.18E-09,1.66E+01
101.9069912,1.19E-15,1.36E-09,1.05E+01
109.2710211,1.27E-15,1.04E-09,8.29E+00
139.7971142,1.14E-15,1.14E-09,7.14E+00
