Wire-Length,Wire-Width,Temperature,Resistance
4.19E-06,1.24E-07,49.06809184,49.10906368
5.88E-06,1.08E-07,43.65893455,91.58667308
6.19E-06,5.97E-08,35.35238471,163.8897841
7.15E-06,1.20E-07,59.23352129,93.50383518
5.42E-06,1.01E-07,36.38819334,72.92335017
5.48E-06,9.13E-08,39.80597962,89.67347471
5.27E-06,7.85E-08,58.57680014,103.381527
6.11E-06,1.13E-07,47.70064943,89.90233276
3.39E-06,1.13E-07,58.68338648,51.07264371
3.96E-06,9.34E-08,61.36309378,66.51129617
5.22E-06,1.04E-07,52.11546589,87.8258156
4.85E-06,1.13E-07,47.99869663,63.31317504
5.72E-06,6.75E-08,45.75328896,126.9668742
5.47E-06,1.04E-07,33.42301189,84.97910791
6.83E-06,8.38E-08,52.78073649,133.1007575
7.00E-06,5.47E-08,38.46586481,191.4802568
5.62E-06,1.15E-07,57.68649258,79.7935417
5.13E-06,7.52E-08,45.862048,116.0806102
4.32E-06,8.90E-08,66.77505823,77.02755414
4.61E-06,8.22E-08,45.06228545,88.99527823
6.60E-06,9.48E-08,55.46046424,118.8807315
7.60E-06,1.07E-07,65.14666588,124.2139912
6.09E-06,8.75E-08,46.0167678,115.7707683
5.61E-06,1.04E-07,38.61420532,83.9849539
2.92E-06,8.30E-08,52.08359453,59.08527471
3.86E-06,9.06E-08,49.47221671,72.40931415
5.48E-06,9.26E-08,62.09864757,89.48064331
3.76E-06,1.23E-07,33.64521115,47.93741036
4.32E-06,1.22E-07,54.05708655,54.44801629
5.52E-06,8.85E-08,57.91507436,95.46320777
4.56E-06,1.34E-07,42.96006627,52.1643038
6.01E-06,1.03E-07,45.29790415,99.28469584
4.43E-06,8.51E-08,48.67614971,81.4154618
4.93E-06,7.52E-08,54.88798108,105.0135514
4.94E-06,1.03E-07,38.0335531,71.36408073
5.57E-06,7.32E-08,47.69173617,107.7121249
4.18E-06,9.68E-08,43.88954055,62.73047712
5.94E-06,1.04E-07,57.19766901,95.40233777
4.83E-06,1.18E-07,53.33702745,70.96146001
7.64E-06,8.63E-08,55.3193994,149.2670927
5.86E-06,9.12E-08,63.42609865,103.998778
7.39E-06,1.19E-07,51.38349877,101.0020839
5.87E-06,1.22E-07,47.43057368,71.95702027
4.37E-06,8.66E-08,27.91718172,75.74197481
5.23E-06,9.62E-08,50.97565462,84.6118968
4.95E-06,1.39E-07,39.95041765,56.88310334
3.85E-06,1.18E-07,26.02343691,53.12288293
5.58E-06,1.06E-07,50.63138712,89.25255396
5.97E-06,1.04E-07,42.40378722,96.54259418
4.39E-06,9.87E-08,45.2993191,60.48237709
5.90E-06,7.50E-08,62.8597945,142.3924607
5.07E-06,9.64E-08,48.37265302,84.27640484
4.48E-06,7.52E-08,72.12166259,98.28703536
5.86E-06,9.83E-08,47.83340562,90.4836163
5.40E-06,8.84E-08,44.41631769,98.62004896
6.80E-06,1.11E-07,57.56817462,101.9069912
5.52E-06,8.10E-08,59.75993601,109.2710211
4.37E-06,6.32E-08,59.05256834,139.7971142
6.45E-06,8.01E-08,36.05341229,120.597123
5.55E-06,8.99E-08,52.73698729,97.78232614
5.54E-06,1.18E-07,50.48476772,72.75221131
4.31E-06,1.16E-07,64.35482264,63.66156381
3.90E-06,8.66E-08,45.7408705,71.47993771
4.69E-06,1.09E-07,50.36689964,71.55563043
4.99E-06,1.20E-07,38.64546508,64.82866121
4.41E-06,8.92E-08,56.98224948,69.18621242
6.62E-06,1.05E-07,59.14520766,98.34642234
7.45E-06,1.02E-07,52.72646528,113.6541754
4.37E-06,1.49E-07,70.08956195,52.73542123
3.07E-06,1.23E-07,74.24519494,42.86601751
4.64E-06,1.20E-07,45.03634251,64.52125027
4.70E-06,1.14E-07,61.12427625,70.07469473
4.86E-06,1.26E-07,58.97738797,65.65500523
2.42E-06,5.17E-08,43.60233211,89.13122509
4.92E-06,1.09E-07,38.48675277,64.59297705
4.61E-06,8.81E-08,76.2213619,84.42859119
5.12E-06,1.23E-07,28.28895785,59.18914823
4.64E-06,1.23E-07,58.67848464,61.37457781
4.80E-06,1.10E-07,46.40744175,66.43905168
4.69E-06,9.86E-08,43.54160608,73.43898677
5.35E-06,9.85E-08,33.30053735,77.36671386
4.19E-06,1.03E-07,49.09983718,70.41199425
5.28E-06,1.21E-07,41.31061875,71.98536995
6.71E-06,1.31E-07,47.55865787,83.34690094
5.84E-06,8.80E-08,46.71729893,98.30466147
4.91E-06,8.70E-08,56.17382354,88.19929432
4.39E-06,1.10E-07,64.18211752,72.85802261
4.47E-06,1.15E-07,43.04905713,56.27532015
5.14E-06,1.20E-07,60.70587011,70.71174033
5.02E-06,1.14E-07,58.44008098,71.07238591
5.54E-06,6.74E-08,53.08153433,124.991185
5.00E-06,1.03E-07,31.73011774,74.28590398
3.84E-06,1.12E-07,54.96619532,56.01474451
6.40E-06,1.18E-07,39.09650231,78.13338811
5.93E-06,7.94E-08,68.53006555,129.0405306
4.75E-06,7.30E-08,33.99825426,94.02797126
5.66E-06,1.49E-07,39.37349491,60.29460224
5.42E-06,6.72E-08,31.96959124,123.4847546
4.79E-06,1.15E-07,27.48706251,60.35475859
3.43E-06,9.41E-08,45.70932655,63.07096979
4.86E-06,1.03E-07,47.83234139,84.13649832
6.35E-06,1.04E-07,42.47275486,98.53707946
6.06E-06,1.18E-07,35.9740134,88.1502706
6.06E-06,9.97E-08,47.49012949,92.31689281
